OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 17,balanced_accuracy,0.9662411823983876,0.975,5,4839,5,0,0:03:46,0:28:28,0:19:27,0:09:01,8,30,30,413432,119853,533285,0.6562708199999999
40499,texture,classification,Pipeline 0,balanced_accuracy,0.9954545454545456,0.997,40,5500,40,0,0:04:32,0:31:34,0:22:31,0:09:03,8,30,30,1645606,135529,1781135,1.0748276100000007
1485,madelon,classification,Pipeline 8,balanced_accuracy,0.8634615384615385,0.875,500,2600,500,0,0:10:54,1:05:29,0:42:32,0:22:57,8,30,18,7368780,80067,7448847,1.8553039999999996
1478,har,classification,Pipeline 15,balanced_accuracy,0.9811429806487673,0.959,561,10299,561,0,0:29:52,3:08:40,1:48:47,1:19:53,8,30,12,8305395,66378,8371773,2.8644566999999994
1590,adult,classification,Pipeline 3,balanced_accuracy,0.8129252481829121,0.805,14,48842,6,8,0:44:08,5:33:47,3:29:51,2:03:56,8,30,30,3533767,864794,4398561,3.9331918900000025
554,mnist_784,classification,Pipeline 5,balanced_accuracy,0.9664450768343157,0.9718,784,70000,784,0,2:00:12,2:13:12,0:47:45,1:25:27,8,30,11,5932213,47113,5979326,1.6099417399999996
43939,california_housing,regression,Pipeline 19,rmse,69331.03182193861,69838.84419182673,9,20640,9,0,0:11:29,1:22:08,1:04:06,0:18:02,8,30,30,1620167,492151,2112318,2.2583271299999987
42165,ames_housing,regression,Pipeline 19,rmse,31970.629598659227,29660.363022492173,80,1460,37,43,0:12:22,1:11:13,1:07:47,0:03:26,8,30,30,4504694,640509,5145203,3.43088453
196,auto_mpg,regression,Pipeline 28,rmse,2.2832434607562577,2.507874838998369,7,398,7,0,0:05:58,0:33:04,0:30:29,0:02:36,8,30,30,1662359,244199,1906558,1.6935389100000007
